G1 G2 G3 G4 G5 G6 G7 G8 G9 G10 G11 G12 G13 G14 G15 Gestion_Academica
3 3 5 5 5 5 5 4 5 1 1 3 3 5 3 56
4 3 4 4 4 5 3 4 5 5 5 5 5 5 5 66
4 3 4 3 4 4 3 3 4 3 3 4 4 3 4 53
1 1 3 1 1 3 3 3 3 2 3 3 2 1 2 32
1 1 1 1 3 3 3 3 2 2 3 3 3 2 2 33
4 4 4 3 3 3 2 3 2 2 3 3 3 3 3 45
4 3 5 4 5 3 4 3 4 1 3 5 4 5 5 58
4 3 3 3 3 3 2 2 3 3 4 4 3 3 4 47
2 2 3 3 3 4 4 4 3 3 4 4 4 4 3 50
5 4 4 3 3 5 3 4 3 2 5 5 4 5 5 60
